pl_name,st_spectype
KOI-1833 d,
Kepler-100 b,
Kepler-100 c,
Kepler-100 d,
Kepler-1073 b,
Kepler-1073 c,
Kepler-1073 d,
Kepler-114 b,M0 V
Kepler-114 c,M0 V
Kepler-114 d,M0 V
Kepler-124 b,
Kepler-124 c,
Kepler-124 d,
Kepler-1254 b,
Kepler-1254 c,
Kepler-1254 d,
Kepler-126 b,
Kepler-126 c,
Kepler-126 d,
Kepler-127 b,
Kepler-127 c,
Kepler-127 d,
Kepler-129 b,G4 V
Kepler-129 c,G4 V
Kepler-129 d,G4 V
Kepler-1311 b,
Kepler-1311 c,
Kepler-1311 d,
Kepler-1321 b,
Kepler-1321 c,
Kepler-1321 d,
Kepler-142 b,
Kepler-142 c,
Kepler-142 d,
Kepler-1468 b,
Kepler-1468 c,
Kepler-1468 d,
Kepler-148 b,
Kepler-148 c,
Kepler-148 d,
Kepler-149 b,
Kepler-149 c,
Kepler-149 d,
Kepler-1530 b,
Kepler-1530 c,
Kepler-1530 d,
Kepler-157 b,
Kepler-157 c,
Kepler-157 d,
Kepler-160 b,
Kepler-160 c,
Kepler-160 d,
Kepler-164 b,
Kepler-164 c,
Kepler-164 d,
Kepler-166 b,
Kepler-166 c,
Kepler-166 d,
Kepler-171 b,
Kepler-171 c,
Kepler-171 d,
Kepler-174 b,
Kepler-174 c,
Kepler-174 d,
Kepler-178 b,
Kepler-178 c,
Kepler-178 d,
Kepler-18 b,
Kepler-18 c,
Kepler-18 d,
Kepler-184 b,
Kepler-184 c,
Kepler-184 d,
Kepler-19 b,
Kepler-19 c,
Kepler-19 d,
Kepler-191 b,
Kepler-191 c,
Kepler-191 d,
Kepler-192 b,
Kepler-192 c,
Kepler-192 d,
Kepler-194 b,
Kepler-194 c,
Kepler-194 d,
Kepler-196 b,
Kepler-196 c,
Kepler-196 d,
Kepler-198 b,
Kepler-198 c,
Kepler-198 d,
Kepler-203 b,
Kepler-203 c,
Kepler-203 d,
Kepler-206 b,
Kepler-206 c,
Kepler-206 d,
Kepler-207 b,
Kepler-207 c,
Kepler-207 d,
Kepler-217 b,
Kepler-217 c,
Kepler-217 d,
Kepler-218 b,
Kepler-218 c,
Kepler-218 d,
Kepler-219 b,
Kepler-219 c,
Kepler-219 d,
Kepler-222 b,
Kepler-222 c,
Kepler-222 d,
Kepler-226 b,
Kepler-226 c,
Kepler-226 d,
Kepler-228 b,
Kepler-228 c,
Kepler-228 d,
Kepler-229 b,
Kepler-229 c,
Kepler-229 d,
Kepler-23 b,
Kepler-23 c,
Kepler-23 d,
Kepler-244 b,
Kepler-244 c,
Kepler-244 d,
Kepler-247 b,
Kepler-247 c,
Kepler-247 d,
Kepler-249 b,M2 V
Kepler-249 c,M2 V
Kepler-249 d,M2 V
Kepler-250 b,
Kepler-250 c,
Kepler-250 d,
Kepler-253 b,
Kepler-253 c,
Kepler-253 d,
Kepler-254 b,
Kepler-254 c,
Kepler-254 d,
Kepler-255 b,
Kepler-255 c,
Kepler-255 d,
Kepler-257 b,
Kepler-257 c,
Kepler-257 d,
Kepler-267 b,M1 V
Kepler-267 c,M1 V
Kepler-267 d,M1 V
Kepler-27 b,
Kepler-27 c,
Kepler-27 d,
Kepler-271 b,
Kepler-271 c,
Kepler-271 d,
Kepler-272 b,
Kepler-272 c,
Kepler-272 d,
Kepler-275 b,
Kepler-275 c,
Kepler-275 d,
Kepler-276 b,
Kepler-276 c,
Kepler-276 d,
Kepler-279 b,
Kepler-279 c,
Kepler-279 d,
Kepler-281 b,
Kepler-281 c,
Kepler-281 d,
Kepler-288 b,
Kepler-288 c,
Kepler-288 d,
Kepler-289 b,
Kepler-289 c,
Kepler-289 d,
Kepler-295 b,
Kepler-295 c,
Kepler-295 d,
Kepler-298 b,
Kepler-298 c,
Kepler-298 d,
Kepler-30 b,
Kepler-30 c,
Kepler-30 d,
Kepler-301 b,
Kepler-301 c,
Kepler-301 d,
Kepler-31 b,
Kepler-31 c,
Kepler-31 d,
Kepler-310 b,
Kepler-310 c,
Kepler-310 d,
Kepler-319 b,
Kepler-319 c,
Kepler-319 d,
Kepler-325 b,
Kepler-325 c,
Kepler-325 d,
Kepler-326 b,
Kepler-326 c,
Kepler-326 d,
Kepler-327 b,
Kepler-327 c,
Kepler-327 d,
Kepler-331 b,
Kepler-331 c,
Kepler-331 d,
Kepler-332 b,
Kepler-332 c,
Kepler-332 d,
Kepler-334 b,
Kepler-334 c,
Kepler-334 d,
Kepler-336 b,
Kepler-336 c,
Kepler-336 d,
Kepler-339 b,
Kepler-339 c,
Kepler-339 d,
Kepler-350 b,
Kepler-350 c,
Kepler-350 d,
Kepler-351 b,
Kepler-351 c,
Kepler-351 d,
Kepler-352 b,
Kepler-352 c,
Kepler-352 d,
Kepler-354 b,
Kepler-354 c,
Kepler-354 d,
Kepler-357 b,
Kepler-357 c,
Kepler-357 d,
Kepler-359 b,
Kepler-359 c,
Kepler-359 d,
Kepler-363 b,
Kepler-363 c,
Kepler-363 d,
Kepler-372 b,
Kepler-372 c,
Kepler-372 d,
Kepler-374 b,
Kepler-374 c,
Kepler-374 d,
Kepler-381 b,
Kepler-381 c,
Kepler-381 d,
Kepler-385 b,
Kepler-385 c,
Kepler-385 d,
Kepler-394 b,
Kepler-394 c,
Kepler-394 d,
Kepler-398 b,
Kepler-398 c,
Kepler-398 d,
Kepler-399 b,
Kepler-399 c,
Kepler-399 d,
Kepler-401 b,
Kepler-401 c,
Kepler-401 d,
Kepler-403 b,
Kepler-403 c,
Kepler-403 d,
Kepler-42 b,M
Kepler-42 c,M
Kepler-42 d,M
Kepler-431 b,
Kepler-431 c,
Kepler-431 d,
Kepler-445 b,M4
Kepler-445 c,M4
Kepler-445 d,M4
Kepler-446 b,M4
Kepler-446 c,M4
Kepler-446 d,M4
Kepler-450 b,
Kepler-450 c,
Kepler-450 d,
Kepler-457 d,
Kepler-46 b,
Kepler-46 c,
Kepler-46 d,
Kepler-487 b,
Kepler-487 c,
Kepler-487 d,
Kepler-51 b,
Kepler-51 c,
Kepler-51 d,
Kepler-52 b,M0 V
Kepler-52 c,M0 V
Kepler-52 d,M0 V
Kepler-529 b,
Kepler-529 c,
Kepler-529 d,
Kepler-53 b,
Kepler-53 c,
Kepler-53 d,
Kepler-54 b,M1 V
Kepler-54 c,M1 V
Kepler-54 d,M1 V
Kepler-56 b,
Kepler-56 c,
Kepler-56 d,
Kepler-58 b,
Kepler-58 c,
Kepler-58 d,
Kepler-60 b,
Kepler-60 c,
Kepler-60 d,
Kepler-603 b,
Kepler-603 c,
Kepler-603 d,
Kepler-616 b,
Kepler-616 c,
Kepler-616 d,
Kepler-770 b,
Kepler-770 c,
Kepler-770 d,
Kepler-81 b,M0 V
Kepler-81 c,M0 V
Kepler-81 d,M0 V
Kepler-88 d,G6 V
Kepler-9 b,
Kepler-9 c,
Kepler-9 d,
Kepler-92 b,
Kepler-92 c,
Kepler-92 d,
Kepler-968 b,
Kepler-968 c,
PSR B1257+12 b,
PSR B1257+12 c,
PSR B1257+12 d,
TOI-125 b,K0 V
TOI-125 c,K0 V
TOI-125 d,K0 V
TOI-1260 b,K6 V
TOI-1260 c,K6 V
TOI-1260 d,K6 V
TOI-1749 b,M0 V
TOI-1749 c,M0 V
TOI-1749 d,M0 V
TOI-2076 b,K
TOI-2076 c,K
TOI-2076 d,K
TOI-270 b,M
TOI-270 c,M
TOI-270 d,M
TOI-431 b,
TOI-431 c,
TOI-431 d,
TOI-712 b,K4.5 V
TOI-712 c,K4.5 V
TOI-712 d,K4.5 V
Wolf 1061 b,M3.5
Wolf 1061 c,M3.5
Wolf 1061 d,M3.5
YZ Cet b,M4.5 V
YZ Cet c,M4.5 V
YZ Cet d,M4.5 V
pi Men c,G0 V
pi Men d,G0 V
14 Her b,K0 V
24 Sex b,K0 IV
24 Sex c,K0 IV
7 CMa b,K1 III
7 CMa c,K1III(+M)
AU Mic b,M1
AU Mic c,M1
BD+20 2457 b,K2 II
BD+20 2457 c,K2 II
BD-06 1339 b,K7/M0 V
BD-06 1339 c,K7/M0 V
BD-08 2823 b,K3 V
BD-08 2823 c,K3 V
BD-11 4672 b,K7 V
BD-11 4672 c,K7V
CoRoT-20 b,G2 V
CoRoT-20 c,G2 V
CoRoT-24 b,K1 V
CoRoT-24 c,K1 V
EPIC 201615463 c,
EPIC 201833600 c,
EPIC 205950854 c,
EPIC 206042996 b,
EPIC 206042996 c,
EPIC 206317286 b,
EPIC 206317286 c,
EPIC 212297394 b,
EPIC 212297394 c,
EPIC 212587672 b,
EPIC 212587672 c,
EPIC 212624936 b,
EPIC 212624936 c,
EPIC 212737443 b,K3
EPIC 212737443 c,K3
EPIC 220554210 c,
EPIC 220674823 b,G5 V
EPIC 220674823 c,G5 V
G 264-012 b,M4.0 V
G 264-012 c,M4.0 V
GJ 1002 b,M5.5 V
GJ 1002 c,M5.5 V
GJ 1132 b,M4.5 V
GJ 1132 c,M4.5 V
GJ 1148 b,M5
GJ 1148 c,M5
GJ 143 b,K4.5
GJ 2030 b,
GJ 2030 c,
GJ 273 b,M3.5
GJ 273 c,M3.5
GJ 317 b,M2.5 V
GJ 317 c,M2.5 V
GJ 3323 b,M4
GJ 3323 c,M4
GJ 3512 b,M5.5 V
GJ 3512 c,M5.5 V
GJ 3929 b,M3.5 V
GJ 3929 c,M3.5 V
GJ 3998 b,M1
GJ 3998 c,M1
GJ 411 b,M1.5 V
GJ 682 b,M3.5 V
GJ 682 c,M3.5 V
GJ 687 b,M3 V
GJ 687 c,M3.0V
GJ 849 b,M3.5
GJ 849 c,M3.5
GJ 887 b,M1 V
GJ 887 c,M1 V
HAT-P-11 b,K4
HAT-P-11 c,K4
HAT-P-13 b,G4
HAT-P-13 c,G4
HAT-P-17 b,K
HAT-P-17 c,K
HAT-P-44 b,
HAT-P-44 c,
HATS-59 b,
HATS-59 c,
HD 102329 b,K0 III
HD 102329 c,K0 III
HD 105618 b,
HD 105618 c,
HD 106315 b,F5 V
HD 106315 c,F5 V
HD 108874 b,G5
HD 108874 c,G5
HD 109271 b,G5 V
HD 109271 c,G5 V
HD 109833 b,
HD 109833 c,
HD 110113 b,G
HD 110113 c,G
HD 111232 b,G5 V
HD 111232 c,G8V
HD 113337 b,F6 V
HD 113337 c,F6 V
HD 113538 b,K9 V
HD 113538 c,K9 V
HD 114783 b,K0
HD 114783 c,K1V
HD 115404 A b,K2V
HD 115404 A c,K2V
HD 12235 b,
HD 12235 c,
HD 12661 b,K0
HD 12661 c,K0
HD 128311 b,K0
HD 128311 c,K0
HD 134060 b,G3 IV
HD 134060 c,G3 IV
HD 134987 b,G5 V
HD 134987 c,G5 V
HD 137496 b,G
HD 137496 c,G
HD 13808 b,K2 V
HD 13808 c,K2 V
HD 13908 b,F8 V
HD 13908 c,F8 V
HD 140901 b,G6IV
HD 140901 c,G6IV
HD 145675 c,K0V
HD 1461 b,G0 V
HD 1461 c,G0 V
HD 147018 b,G9 V
HD 147018 c,G9 V
HD 148164 b,F8
HD 148164 c,F8
HD 151450 b,
HD 151450 c,
HD 152843 b,G0
HD 152843 c,G0
HD 15337 b,K1 V
HD 15337 c,K1 V
HD 154857 b,G5 V
HD 154857 c,G5 V
HD 155358 b,G0
HD 155358 c,G0
HD 155918 b,G2V
HD 155918 c,G2V
HD 156098 b,
HD 156098 c,
HD 156279 b,G6
HD 156279 c,G6
HD 156668 b,K2
HD 156668 c,K2
HD 159243 b,G0 V
HD 159243 c,G0 V
HD 159868 b,G5 V
HD 159868 c,G5 V
HD 1605 b,K1 IV
HD 1605 c,K1 IV
HD 163607 b,G5
HD 163607 c,G5
HD 168443 b,G5
HD 168443 c,G5
HD 169830 b,F8 V
HD 169830 c,F8 V
HD 176986 b,K2.5 V
HD 176986 c,K2.5 V
HD 18143 b,K2
HD 18143 c,K2
HD 183263 b,G2 IV
HD 183263 c,G2 IV
HD 187123 b,G3 V
HD 187123 c,G3 V
HD 189567 b,G3 V
HD 189567 c,G3 V
HD 192310 b,K3V
HD 192310 c,K3V
HD 20003 b,G8 V
HD 20003 c,G8 V
HD 200964 b,G8 IV
HD 200964 c,G8 IV
HD 202696 b,K0 III-IV
HD 202696 c,K0 III-IV
HD 203387 b,
HD 203387 c,
HD 206893 b,F5 V
HD 206893 c,F5 V
HD 213885 b,G
HD 213885 c,G
HD 215497 b,K3 V
HD 215497 c,K3 V
HD 216520 b,K2
HD 216520 c,K2
HD 21693 b,G8 V
HD 21693 c,G8 V
HD 217107 b,G8 IV
HD 217107 c,G8 IV
HD 21749 c,K4.5
HD 219828 b,G0 IV
HD 219828 c,G0 IV
HD 24040 b,G0 V
HD 24040 c,G0 V
HD 25912 b,
HD 25912 c,
HD 260655 b,M0 V
HD 260655 c,M0 V
HD 28185 b,G5
HD 28185 c,G5
HD 30177 b,G8 V
HD 30177 c,G8 V
HD 33844 b,K0 III
HD 33844 c,K0 III
HD 37605 b,K0
HD 37605 c,K0
HD 4203 b,G5
HD 4203 c,G5
HD 43197 b,G8 V
HD 43197 c,G8 V
HD 45184 b,G1.5 V
HD 45184 c,G1.5 V
HD 45364 b,K0 V
HD 45364 c,K0 V
HD 47186 b,G6 V
HD 47186 c,G6 V
HD 47366 b,K1 III
HD 47366 c,K1 III
HD 50499 b,G1 V
HD 50499 c,G1 V
HD 51608 b,G7 V
HD 51608 c,G7 V
HD 5278 b,F V
HD 5278 c,F V
HD 5319 b,G5
HD 5319 c,G5
HD 60532 b,F6 IV
HD 60532 c,F6 IV
HD 62364 b,
HD 62364 c,
HD 63433 b,G5IV
HD 63433 c,G5IV
HD 63935 b,
HD 63935 c,
HD 66428 b,G8 IV (+ G)
HD 66428 c,G8 IV (+ G)
HD 67087 b,F8 V
HD 67087 c,F8 V
HD 68988 b,G2 V
HD 68988 c,G2 V
HD 72659 b,G2 V
HD 72659 c,G2 V
HD 73267 b,G5 V
HD 73267 c,G5 V
HD 73526 b,G6 V
HD 73526 c,G6 V
HD 73583 b,K4 V
HD 73583 c,K4 V
HD 74156 b,G0
HD 74156 c,G0
HD 75784 b,G5
HD 75784 c,G5
HD 81817 b,K3 III
HD 81817 c,K3 III
HD 82943 b,G2/3V
HD 82943 c,G2/3V
HD 83443 b,K0 V
HD 83443 c,K0 V
HD 86226 b,G1 V
HD 86226 c,G1 V
HD 92788 b,G6 V
HD 92788 c,G6 V
HD 93351 b,
HD 93351 c,
HD 9446 b,G5 V
HD 9446 c,G5 V
HD 95089 b,G8/K0 IV
HD 95089 c,G8/K0 IV
HD 95735 c,M1.5 V
HD 99706 b,K0
HD 99706 c,K0
HIP 19976 b,
HIP 19976 c,
HIP 38594 b,M0
HIP 38594 c,M0
HIP 5158 b,
HIP 5158 c,
HIP 54373 b,K5 V
HIP 54373 c,K5 V
HIP 65407 b,K0
HIP 65407 c,K0
HIP 67851 b,K0 III
HIP 67851 c,K0 III
HIP 97166 b,K0 V
HIP 97166 c,K0 V
K2-111 b,G2
K2-111 c,G2
K2-117 b,M1.0 V
K2-117 c,M1.0 V
K2-141 b,K7 V
K2-141 c,K7 V
K2-146 b,M3.0 V
K2-146 c,M3.0 V
K2-154 b,M0.0 V
K2-154 c,M0.0 V
K2-158 b,
K2-158 c,
K2-166 b,
K2-168 b,
K2-170 b,
K2-170 c,
K2-172 b,
K2-172 c,
K2-18 b,M2.5 V
K2-18 c,M2.5 V
K2-185 b,
K2-185 c,
K2-188 b,
K2-188 c,
K2-189 b,
K2-189 c,
K2-190 b,
K2-190 c,
K2-195 b,
K2-195 c,
K2-199 b,
K2-199 c,
K2-201 b,
K2-201 c,
K2-21 b,M0.0
K2-21 c,M0.0
K2-223 b,
K2-223 c,
K2-224 b,
K2-224 c,
K2-229 b,G9
K2-229 c,G9
K2-24 b,G9 V
K2-24 c,G9 V
K2-240 b,M0.5 V
K2-240 c,M0.5 V
K2-243 b,
K2-243 c,
K2-247 b,
K2-247 c,
K2-254 b,
K2-254 c,
K2-264 b,M2.5 V
K2-264 c,M2.5 V
K2-270 b,
K2-270 c,
K2-275 b,
K2-275 c,
K2-282 b,
K2-316 b,
K2-316 c,
K2-331 b,
K2-331 c,
K2-343 b,
K2-343 c,
K2-348 b,
K2-348 c,
K2-35 b,K4 V
K2-35 c,K4 V
K2-350 b,
K2-350 c,
K2-36 b,K2 V
K2-36 c,K2 V
K2-374 b,G3
K2-374 c,G3
K2-38 b,G2 V
K2-38 c,G2 V
K2-389 b,G3
K2-389 c,G3
K2-395 b,K0
K2-395 c,K0
K2-396 b,G9
K2-396 c,G9
K2-398 b,G2
K2-398 c,G2
K2-407 b,G4
K2-407 c,G4
K2-413 b,
K2-413 c,
K2-414 b,
K2-414 c,
K2-43 b,
K2-43 c,
K2-5 b,K7.5 V
K2-5 c,K7.5 V
K2-50 b,
K2-59 b,
K2-59 c,
K2-62 b,
K2-62 c,
K2-63 b,
K2-63 c,
K2-75 b,
K2-75 c,
K2-8 b,K3 V
K2-8 c,K3 V
K2-83 b,
K2-83 c,
K2-84 b,
K2-84 c,
K2-90 b,
K2-90 c,
KELT-6 b,F8
KELT-6 c,F8
KIC 5437945 b,
KIC 9663113 b,
KMT-2020-BLG-0414L b,
KMT-2020-BLG-0414L c,
KMT-2021-BLG-1077L b,M V
KMT-2021-BLG-1077L c,M V
KOI-12 b,
KOI-1599.01,
KOI-1599.02,
KOI-1783.01,
KOI-1783.02,
KOI-3503 b,
KOI-3503 c,
KOI-55 b,B
KOI-55 c,B
KOI-984 b,
KOI-984 c,
Kepler-10 b,
Kepler-10 c,
Kepler-1001 b,
Kepler-1001 c,
Kepler-101 b,G3 IV
Kepler-101 c,G3 IV
Kepler-1016 b,
Kepler-1016 c,
Kepler-103 b,
Kepler-103 c,
Kepler-1038 b,
Kepler-1038 c,
Kepler-1047 b,
Kepler-1047 c,
Kepler-105 b,
Kepler-105 c,
Kepler-1050 b,
Kepler-1050 c,
Kepler-1065 b,
Kepler-1065 c,
Kepler-1067 b,
Kepler-1067 c,
Kepler-1085 b,
Kepler-1085 c,
Kepler-109 b,
Kepler-109 c,
Kepler-1090 b,
Kepler-1090 c,
Kepler-1093 b,
Kepler-1093 c,
Kepler-110 b,
Kepler-110 c,
Kepler-111 b,
Kepler-111 c,
Kepler-112 b,
Kepler-112 c,
Kepler-1129 b,
Kepler-1129 c,
Kepler-113 b,
Kepler-113 c,
Kepler-1143 b,
Kepler-1143 c,
Kepler-115 b,
Kepler-115 c,
Kepler-1154 b,
Kepler-1154 c,
Kepler-116 b,
Kepler-116 c,
Kepler-1165 b,
Kepler-1165 c,
Kepler-117 b,F8 V
Kepler-117 c,F8 V
Kepler-118 b,
Kepler-118 c,
Kepler-119 b,
Kepler-119 c,
Kepler-120 b,M0 V
Kepler-120 c,M0 V
Kepler-121 b,
Kepler-121 c,
Kepler-123 b,
Kepler-123 c,
Kepler-1245 b,
Kepler-1245 c,
Kepler-125 b,M1 V
Kepler-125 c,M1 V
Kepler-1266 b,
Kepler-1266 c,
Kepler-128 b,
Kepler-128 c,
Kepler-131 b,
Kepler-131 c,
Kepler-1312 b,
Kepler-1312 c,
Kepler-1315 b,
Kepler-1315 c,
Kepler-1322 b,
Kepler-1322 c,
Kepler-133 b,
Kepler-133 c,
Kepler-1336 b,
Kepler-1336 c,
Kepler-134 b,
Kepler-134 c,
Kepler-135 b,
Kepler-135 c,
Kepler-1350 b,
Kepler-1350 c,
Kepler-1365 b,
Kepler-1365 c,
Kepler-137 b,
Kepler-137 c,
Kepler-1370 b,
Kepler-1370 c,
Kepler-1371 b,
Kepler-1371 c,
Kepler-139 b,
Kepler-139 c,
Kepler-1398 b,
Kepler-1398 c,
Kepler-140 b,
Kepler-140 c,
Kepler-141 b,
Kepler-141 c,
Kepler-143 b,
Kepler-143 c,
Kepler-144 b,
Kepler-144 c,
Kepler-145 b,
Kepler-145 c,
Kepler-146 b,
Kepler-146 c,
Kepler-1464 b,
Kepler-1464 c,
Kepler-147 b,
Kepler-147 c,
Kepler-1488 b,
Kepler-1488 c,
Kepler-151 b,
Kepler-151 c,
Kepler-1514 b,
Kepler-1514 c,
Kepler-152 b,
Kepler-152 c,
Kepler-153 b,
Kepler-153 c,
Kepler-155 b,M0 V
Kepler-155 c,M0 V
Kepler-156 b,
Kepler-156 c,
Kepler-158 b,
Kepler-158 c,
Kepler-159 b,M0 V
Kepler-159 c,M0 V
Kepler-1600 b,
Kepler-1600 c,
Kepler-161 b,
Kepler-161 c,
Kepler-162 b,
Kepler-162 c,
Kepler-163 b,
Kepler-163 c,
Kepler-1641 b,
Kepler-1641 c,
Kepler-1642 b,
Kepler-1642 c,
Kepler-1649 b,
Kepler-1649 c,
Kepler-165 b,
Kepler-165 c,
Kepler-1656 b,
Kepler-1656 c,
Kepler-1666 b,
Kepler-1666 c,
Kepler-1669 b,
Kepler-1669 c,
Kepler-168 b,
Kepler-168 c,
Kepler-1693 b,
Kepler-1693 c,
Kepler-170 b,
Kepler-170 c,
Kepler-1705 b,
Kepler-1705 c,
Kepler-173 b,
Kepler-173 c,
Kepler-175 b,
Kepler-175 c,
Kepler-177 b,
Kepler-177 c,
Kepler-179 b,
Kepler-179 c,
Kepler-180 b,
Kepler-180 c,
Kepler-1802 b,
Kepler-1802 c,
Kepler-181 b,
Kepler-181 c,
Kepler-182 b,
Kepler-182 c,
Kepler-183 b,
Kepler-183 c,
Kepler-185 b,
Kepler-185 c,
Kepler-187 b,
Kepler-187 c,
Kepler-188 b,
Kepler-188 c,
Kepler-189 b,
Kepler-189 c,
Kepler-190 b,
Kepler-190 c,
Kepler-1907 b,
Kepler-1907 c,
Kepler-193 b,
Kepler-193 c,
Kepler-195 b,
Kepler-195 c,
Kepler-1972 b,
Kepler-1972 c,
Kepler-199 b,
Kepler-199 c,
Kepler-200 b,
Kepler-200 c,
Kepler-201 b,
Kepler-201 c,
Kepler-202 b,
Kepler-202 c,
Kepler-204 b,
Kepler-204 c,
Kepler-205 b,M1 V
Kepler-205 c,M1 V
Kepler-209 b,
Kepler-209 c,
Kepler-210 b,M0 V
Kepler-210 c,M0 V
Kepler-211 b,
Kepler-211 c,
Kepler-212 b,
Kepler-212 c,
Kepler-213 b,
Kepler-213 c,
Kepler-214 b,
Kepler-214 c,
Kepler-216 b,
Kepler-216 c,
Kepler-225 b,M1 V
Kepler-225 c,M1 V
Kepler-227 b,
Kepler-227 c,
Kepler-230 b,
Kepler-230 c,
Kepler-231 b,M1 V
Kepler-231 c,M1 V
Kepler-232 b,
Kepler-232 c,
Kepler-233 b,
Kepler-233 c,
Kepler-234 b,
Kepler-234 c,
Kepler-236 b,M1 V
Kepler-236 c,M1 V
Kepler-237 b,
Kepler-237 c,
Kepler-239 b,
Kepler-239 c,
Kepler-240 b,
Kepler-240 c,
Kepler-241 b,
Kepler-241 c,
Kepler-242 b,
Kepler-242 c,
Kepler-243 b,
Kepler-243 c,
Kepler-246 b,
Kepler-246 c,
Kepler-248 b,
Kepler-248 c,
Kepler-252 b,M0 V
Kepler-252 c,M0 V
Kepler-258 b,
Kepler-258 c,
Kepler-259 b,
Kepler-259 c,
Kepler-260 b,
Kepler-260 c,
Kepler-261 b,
Kepler-261 c,
Kepler-262 b,
Kepler-262 c,
Kepler-263 b,
Kepler-263 c,
Kepler-264 b,
Kepler-264 c,
Kepler-266 b,
Kepler-266 c,
Kepler-268 b,
Kepler-268 c,
Kepler-269 b,
Kepler-269 c,
